Atom Index,RMSF
1,9.347814829937397
2,8.718379296020132
3,7.577600902176003
4,9.406354694597141
5,10.301873156288034
6,9.332478577261746
7,10.143694615347716
8,9.567029908531
9,8.29887139686591
10,8.588571243410515
11,7.508439763985716
12,8.295024836086137
13,9.139632294774787
14,7.690275776770351
15,8.345994006077044
16,8.740032495368236
17,7.531980250141603
18,9.198321729248281
19,9.977429442828642
20,10.682041813606704
21,10.21353973091468
22,10.897970910281044
23,9.630025597422325
24,8.367878002688913
25,10.299437716720439
26,10.206082251774642
27,9.89354432864053
28,11.312696552658771
29,11.732104667322593
30,11.721564692510785
31,11.721641659652974
32,9.516933348866377
33,9.496471836316353
34,9.785465497360393
35,10.103927479299204
36,8.165935781194126
37,7.647035483262301
38,8.14304101184931
39,7.8731044416515585
40,8.399574727389028
41,6.609060575032172
42,6.721507817689667
43,6.248093259953675
44,6.057399106759433
45,6.556486141492985
46,6.7322420126417715
47,6.902880965057126
48,6.909184252029413
49,6.9117503574594625
50,6.504527497204823
51,4.927454890728392
52,4.512504655197211
53,4.597253656709205
54,4.5901765250762345
55,4.592417065521398
56,4.793463593808705
57,5.500119571312122
58,4.269326081285107
59,3.783043282179401
60,4.818050417659811
61,5.52523477463378
62,4.998237762622363
63,5.383826181831941
64,5.2007543387253685
65,5.178262292912306
66,5.9642141696881525
67,6.925987206762185
68,7.284577852276465
69,7.253933263083651
70,7.264616128302036
71,5.717403487266443
72,6.638088672620095
73,7.185406344417228
74,7.313480887275664
75,6.220332053604897
76,5.873295122135372
77,5.939860990257091
78,5.9382822836807705
79,5.919738138652184
80,5.679598453956702
81,7.352453432347104
82,8.146343541047544
83,7.758480824699025
84,9.063113754083451
85,9.796709835653742
86,10.078808361044405
87,10.079101840206285
88,10.081177799485147
89,7.574014881378274
90,7.448378931200584
91,7.852853028506404
92,8.03719791485865
93,8.117295942568012
94,6.311614060151367
95,6.3875835141636506
96,6.549374231294028
97,6.543273792503586
98,6.5423605479492295
99,5.660637155957288
100,5.991687006906146
101,4.851455763066951
102,4.106999774754781
103,4.104182926153443
104,4.12050062793843
105,4.1237438095793575
106,4.760920965863114
107,5.5204667490928205
108,6.052288038515211
109,5.918433771172848
110,5.906053199190253
111,5.647129143032937
112,7.156936759479161
113,7.496259811156849
114,7.877686444080004
115,7.764181287034152
116,7.7936469453615524
117,7.901768929097112
118,7.857042970762588
119,8.77301688522911
120,8.091792652455583
121,8.391832560320765
122,7.637447358648957
123,8.91806562517595
124,8.661773341454845
125,9.506506553503854
126,9.853034670270402
127,9.084296180924031
128,10.513275850961259
129,11.176931692260018
130,11.643828877578601
131,11.846815245198494
132,11.847586472693555
133,11.838941211245118
134,10.326397921178465
135,11.322835773277822
136,12.355781101729589
137,12.325976913508107
138,11.627846983001538
139,10.847889071866634
140,11.559588308968381
141,10.732942932026557
142,9.838780115178896
143,9.6561993786162
144,10.183272894129734
