Atom Index,RMSF
1,9.000935855625448
2,8.47211692854087
3,7.364745814701778
4,9.238944092505118
5,9.980571996824713
6,8.884155244307296
7,9.635362610036992
8,9.174736983655801
9,7.769432890405148
10,8.004819369265435
11,7.0234558940518275
12,7.729942639137932
13,8.538361568663976
14,7.085437906514474
15,7.888731243222975
16,8.255761721422651
17,7.11828615844118
18,8.845393966371804
19,9.750654146849493
20,10.555757940234619
21,9.994517984349091
22,10.562204900707156
23,9.570159859546248
24,8.259392688558192
25,10.221973465551322
26,10.004835850665556
27,10.050238199375476
28,11.514298933386359
29,11.93766592734432
30,11.93792477174088
31,11.933401264357455
32,9.684036273887251
33,9.809198669401768
34,10.230694046123503
35,10.426349987937737
36,8.42748230551042
37,7.94315014274111
38,8.502428523065104
39,7.888480558785377
40,8.387743155060628
41,6.512063345436035
42,6.430051505817089
43,6.199359067172507
44,6.018782769354197
45,6.680717528845352
46,6.904897681344793
47,7.078263161612622
48,7.092700985026146
49,7.097550379027442
50,6.475736247420204
51,4.740980272996713
52,4.34464991126993
53,4.4422429535527845
54,4.445155969468165
55,4.437700996492462
56,4.448778694536084
57,5.19766045461758
58,3.690534317697619
59,3.162115782831229
60,4.088331737378904
61,4.888992730204126
62,4.034833295032159
63,3.603689131484378
64,4.952585520731482
65,5.608764176212354
66,5.565345425178286
67,6.537716366079186
68,6.882601712108779
69,6.909718136108116
70,6.863360500802916
71,5.2080391359630225
72,6.277591425288866
73,6.89352723788965
74,6.90961394350972
75,5.897311676238954
76,5.58995481813037
77,5.6716498061000875
78,5.685476132835761
79,5.656344061489944
80,5.329217940730506
81,7.084594662105895
82,7.910787922805124
83,7.521854711374535
84,8.865189392661344
85,9.60030129112984
86,9.886645637233558
87,9.88436507876086
88,9.886285691225035
89,7.309981559499831
90,7.245054602794594
91,7.705705863536929
92,7.720470632511762
93,7.94458941405177
94,6.042034866644494
95,6.128072054122767
96,6.296850772089432
97,6.302390670529616
98,6.301664857131838
99,5.339211557206681
100,5.722018804241181
101,4.407100860863091
102,3.7130185619447444
103,3.7832991518172663
104,3.7480480514130674
105,3.757682059595214
106,4.241774036277104
107,5.111407631827678
108,5.53534864727663
109,5.770119349208817
110,5.57619714459537
111,5.771194620367996
112,7.076979036002379
113,7.342482617674211
114,8.064990470604522
115,8.096656448868886
116,8.171119919046662
117,8.2267826566303
118,8.24884872774291
119,8.958660909473599
120,8.372794475933794
121,9.2086084613962
122,7.7040368824052745
123,8.849198754435333
124,8.14880959022792
125,9.437426033153475
126,10.17306603050596
127,8.81568949033263
128,10.178009421429952
129,10.814110902179639
130,11.634330727396817
131,11.923895812183478
132,11.917059112787726
133,11.922602774910475
134,9.600321214838859
135,11.223500622994381
136,12.063934476350054
137,11.706569749267853
138,11.855193677713116
139,10.731490705359365
140,11.591149264043109
141,10.260435322217113
142,9.976893427818906
143,9.758267622481705
144,10.680336924199253
